assigned_to,component,creation_time,id,keywords,last_change_time,priority,product,resolution,severity,status,summary,whiteboard
"{u'name': u'anthony', u'real_name': u'Anthony Ricaud (:rik)'}",Gaia::Dialer,2014-02-28T11:03:14Z,978031,"[u'qablocker', u'regression']",2014-04-26T20:21:03Z,--,Firefox OS,FIXED,normal,RESOLVED,[B2G][Dialer] Incorrect message after trying to use dialer in Airplane mode,[fromAutomation][xfail]
"{u'name': u'bkelly', u'real_name': u'Ben Kelly [:bkelly]'}",Gaia::Contacts,2013-10-21T14:44:36Z,928954,[],2013-10-21T22:45:58Z,--,Firefox OS,FIXED,normal,RESOLVED,contacts import from sim broken by webidl,[c= p=1 s= u=][xfail][fromAutomation]
"{u'name': u'brian', u'real_name': u'Brian Smith (:briansmith, was :bsmith; NEEDINFO? for response)'}",General,2013-06-03T17:26:16Z,878878,"[u'crash', u'intermittent-failure']",2013-10-25T16:03:09Z,--,Firefox OS,INVALID,critical,RESOLVED,Intermittent B2G/ Gaia crash during UI automation - [@ FreeArenaList],[b2g-crash][fromAutomation]
"{u'name': u'dale', u'real_name': u'Dale Harvey (:daleharvey)'}",Gaia::Browser,2013-09-23T16:28:20Z,919584,[u'regression'],2013-09-25T00:03:51Z,--,Firefox OS,FIXED,normal,RESOLVED,Can't add bookmark to homescreen,[fromAutomation]
"{u'name': u'etienne', u'real_name': u'Etienne Segonzac (:etienne)'}",Gaia::Dialer,2013-11-28T18:17:13Z,944468,[u'regression'],2013-12-05T18:07:53Z,--,Firefox OS,FIXED,normal,RESOLVED,Flow from Messages app/message thread to Dialer is broken,[fromAutomation] [xfail]
"{u'name': u'felash', u'real_name': u'Julien Wajsberg [:julienw]'}",Gaia::SMS,2013-03-13T14:35:16Z,850658,[],2013-03-13T17:32:26Z,--,Firefox OS,DUPLICATE,normal,RESOLVED,Send button is disabled when sending valid SMS,[fromAutomation]
"{u'name': u'iliu', u'real_name': u'Ian Liu [:ianliu]'}",Gaia::Video,2013-05-29T20:24:59Z,877359,[u'regression'],2013-06-04T12:37:03Z,--,Firefox OS,DUPLICATE,normal,RESOLVED,"Videoplayer is reading video but not clearing the ""load videos"" overlay",[fromAutomation]
"{u'name': u'janjongboom', u'real_name': u'Jan Jongboom [:janjongboom] (Telenor)'}",Gaia::Dialer,2013-05-06T17:06:23Z,869060,[u'regression'],2013-05-24T09:31:21Z,--,Firefox OS,DUPLICATE,normal,RESOLVED,"Contact name no longer appears on the oncall screen when there is a ""+"" in the phone",[fromAutomation]
"{u'name': u'mihai', u'real_name': u'Mihai Cirlanaru [:mihai][:mcirlanaru]'}",Gaia::Keyboard,2013-06-14T20:08:45Z,883340,[u'regression'],2014-04-16T15:58:07Z,--,Firefox OS,INVALID,major,RESOLVED,Keyboard keys do not change case (stuck in capital/upper case),[fromAutomation][label:Keyboard & IME]
"{u'name': u'mri', u'real_name': u'marina rodr\xedguez [:mai]'}",Gaia::Cost Control,2014-05-08T14:03:16Z,1007667,"[u'qablocker', u'regression']",2014-05-09T11:31:40Z,--,Firefox OS,FIXED,normal,RESOLVED,"Data Alert ""When use is above"" menu is not working",[fromAutomation]
